sentence,sentiment,topic
???c h?c nhi?u kinh nghi?m t? th?y wzjwz163 .,1,0
"ki?n th?c c?a th?y r?t t?t , b?o ??m gi? lên l?p .",1,0
hi?n t?i em ch?a th?y tác d?ng gì nhi?u khi h?c môn này .,0,1
c?i thi?n l?i c? s? v?t ch?t máy chi?u trong phòng h?c .,0,2
d?y không phù h?p v?i cách h?c c?a em .,0,0
gi?i thích n?i dung m?i rõ ràng .,1,0
l?p h?c quá ?ông !,0,1
"môn c?n b?n mà th?y không d?y cho sinh viên k? , gây không hi?u , m?t c?n b?n .",0,1
"gi?ng viên ch?a cho bài t?p v? nhà ?? sinh viên làm nên cho 5 bài m?i ch??ng , không c?n ch?a ch? c?n ?áp án .",0,0
"mà hi?n t?i tr??ng ta ch?a có , ?ây là thi?t thòi l?n ??i v?i t?i em .",0,1
tôi c?m th?y gi?ng viên d?y r?t t?t .,1,0
"không bi?t th?y nào d?y chính th?c , mà h?c th??ng ngh? không thông báo tr??c ?? sinh viên ??ng ch? s?p h?t ti?t r?i t? v? nhi?u l?n .",0,0
c?n có s? t??ng tác gi?a gi?ng viên và sinh viên nhi?u h?n .,0,3
gi?ng viên thân thi?n nhi?t tình c?i m? .,1,0
"giáo viên có m?i các công ty v? trình bày , giúp sinh viên c?p nh?t ki?n th?c th?c ti?n .",1,0
coi l?i thái ?? gi?ng viên th?c hành .,0,0
"gi?ng viên nhi?t tình , gi?i nhi?u bài t?p .",1,0
bài gi?ng c?a th?y r?t nhi?t tình .,1,0
"môn h?c ch?a th?c ti?n , ch?a thu hút sinh viên .",0,1
d?y h?i nhanh !,0,0
ít làm bài t?p .,0,1
"gi?ng bài kém thu hút , v? trí ??ng gi?ng không h?p lý , ôn t?p cu?i k? còn ch?a t?p trung vào v?n ?? .",0,0
"gi?ng viên nhi?t tình , bài gi?ng thu hút .",1,0
"nh? th?y và gi?ng viên lý thuy?t , em ?ã hi?u rõ v? môn này r?t nhi?u !",1,0
môn này khá tr?u t??ng nên mong th?y có nhi?u liên t??ng t?i th?c ti?n h?n ?? chúng em có th? hi?u .,0,1
c?n thêm nhi?u tài li?u cho sinh viên .,0,1
t?ng s? ti?t d?y lên ?? sinh viên có nhi?u c? h?i h?i ?áp th?c m?c v? môn h?c .,0,1
th?y nhi?t tình d? hi?u .,1,0
th?c hành và lý thuy?t nên d?y song song .,0,1
gi?ng viên d?y nhanh .,0,0
bài t?p trên l?p nên ???c gi?i thi?u ngay t? ??u ti?t h?c ?? h?c sinh không t?n th?i gian ??c ?? c?ng nh? có th? suy ngh? cách gi?i cùng lúc v?i vi?c nghe gi?ng .,0,1
gi?ng viên cho bài t?p hay .,1,0
c?p nh?t bài t?p m?i .,0,1
"lên l?p ai làm vi?c ng??i ?y , th?y không có gi?ng gì thêm .",0,0
"t?n tâm , nhi?t tình , quan tâm ??n sinh viên .",1,0
ph?n h?i gi?i ?áp th?c m?c cho sinh viên .,1,0
d?y quá nhanh .,0,0
mong ban thi?t b? s?m kh?c ph?c ? !,0,2
môn này c?n làm ?? tài ?? áp d?ng lý thuy?t vào th?c ti?n mà trên l?p ch? h?c m?t ??ng lý thuy?t và hi?m ai nh? ?a s? khá bu?n ng? khi lên l?p .,0,1
"gi?ng viên nên ??i m?i ph??ng pháp gi?ng d?y , tránh thô c?ng , không h?p d?n sinh viên .",0,0
"nhi?t tình , t?o cách ch? ??ng cho h?c sinh ti?p c?n v?i môn h?c và tham gia các ch??ng trình phong trào liên quan ?? nâng cao k? n?ng .",1,0
"cô d?y r?t t?n tình , d? hi?u .",1,0
không ?áp ?ng ???c nhu c?u c?a sinh viên .,0,1
th?y r?t nhi?t tình v?i chúng em và ?i?u này làm em r?t hài lòng .,1,0
cách gi?ng d?y c?a th?y r?t hay và có ph?n d? hi?u .,1,0
"nhi?t tình , d? th??ng .",1,0
không h??ng d?n ?? án .,0,0
em xin ?? ngh? nhà tr??ng nên b? sung tài li?u v? môn h?c và c?p nh?t n?i dung .,0,1
"chép bài r?t nhi?u , lãng phí th?i gian nghe gi?ng .",0,0
"em không h?c th?y wzjwz178 k? này , giáo viên th?c hành có 2 ng??i nên có l? daa nh?m .",0,0
?? thi môn dài sinh viên làm không ?? th?i gian .,0,3
cho làm nhi?u bài test .,0,0
theo em thì nên thi phòng máy nào có visual 2013 tr? lên .,0,2
c?n thêm nhi?u tài li?u cho môn h?c .,0,1
th?y gi?ng d?y t?t .,1,0
mong th?y có th? h??ng d?n cách c? th? nh?t cho nh?ng bài khó .,0,0
th?y c?n cho bài t?p và h??ng d?n nhi?u h?n .,0,0
"giáo viên lên l?p ?úng gi? , gi?ng bài sôi ??ng .",1,0
em th?y th?y ch? gi?ng cho có .,0,0
c?n xác ??nh rõ m?c ?ích môn h?c và cho sinh viên ?? c??ng chi ti?t môn h?c tr??c khi b?t ??u .,0,1
"th?y nói chuy?n v?i sinh viên r?t t? nhiên , chia s? kinh nghi?m th?c t? .",1,0
d?y theo sát ch??ng trình .,1,0
cung c?p thêm trang thi?t b? ph?c v? nhu c?u môn h?c .,0,2
?? ngh? nâng c?p phòng lab khoa m?ng .,0,2
"th?y gi?ng hay và tâm huy?t , bài gi?ng có tính th?c ti?n cao .",1,0
?i d?y ?úng gi? .,1,0
"th?y cung c?p nhi?u ki?n th?c m?i , th?y d?y t?n tâm và nhi?t tình !",1,0
có t?ng thêm nhi?u ví d? ?? minh h?a cho lý thuy?t vì có nhi?u ph?n lý thuy?t r?t tr?u t??ng .,1,0
các yêu c?u v? ?? án môn h?c nên ???c ??a ra chính xác tr??c khi sinh viên b?t ??u th?c hi?n chia nhóm và làm ?? án .,0,1
"d?y d? hi?u d? ti?p thu , t?p trung vài ki?n th?c tr?ng tâm .",1,0
"d?y ch?a ???c k? l?m , ?i?m nên thoáng h?n .",0,0
ch?a chu?n b? k? bài gi?ng ?? có th? tr? l?i các th?c m?c c?a sinh viên trên l?p .,0,0
cô khá t?n tâm cho h?c sinh .,1,0
"c?n c?i cách l?i n?i dung các bài th?c hành , m?t s? ki?n n?i dung trong bài th?c hành ?ã tr? nên l?i th?i .",0,1
gi?ng viên có kh? n?ng truy?n ??t ki?n th?c t?t .,1,0
cho làm nhi?u bài t?p .,0,0
"giáo viên d?y r?t t?n tâm , nhi?t tình .",1,0
th?y cô h??ng d?n ?? án h? th?ng thông tin c?n có thêm m?t vài bu?i g?p m?t v?i sinh viên và ??a ra l?ch c? ??nh trên tr??ng ?? sinh viên th?c m?c có th? lên h?i tr?c ti?p !,0,0
ch? thông báo trên l?p s? khó tránh sai sót .,0,3
cô vi?t ? góc b?ng g?n ch? b?t gi?ng khi?n nhi?u khi khó quan sát ???c ? .,0,0
?? ngh? l?p thêm qu?t .,0,2
d?y k? .,1,0
bài t?p c?n ?a d?ng h?n .,0,1
nói r?t nh? .,0,0
có lúc làm bài sai giáo viên nói làm h?i t? ái .,0,0
không s?a các bài t?p th?c hành .,0,0
em ch?a hi?u rõ cách th?c ch?m ?i?m bài ki?m tra th?c hành .,0,1
làm bài t?p nhi?u m?c dù không hi?u l?m .,0,1
thi tho?ng ngh? h?c không thông báo trên daa .,0,0
"th?y d?y d? hi?u , ti?t h?c d? hi?u , sôi n?i .",1,0
"th?y gi?ng d?y nhi?t tình , truy?n c?m .",1,0
"gi?ng d?y r?t chi ti?t , d? hi?u và d? ti?p thu .",1,0
truy?n ??t nh?ng ki?n th?c t?t .,1,0
cô vui tính .,1,0
n?u có thì ch? h??ng d?n b?ng lý thuy?t mà không làm bài t?p m?u cho sinh viên .,0,0
cô ch?a có nhi?u kênh bài t?p cho sinh viên .,0,0
b?n nào khá thì có th? áp d?ng công th?c vào bài t?p c? l?p ch?a ??n 30% còn th?c s? hi?u môn h?c thì r?t ít ng??i hi?u .,0,3
th?y d?y h?i nhanh .,0,0
ít h??ng d?n sinh viên trong gi? th?c hành .,0,0
không th?c hành ???c bu?i nào .,0,3
"th?y d?y ph?n lý thuy?t hay , n?m b?t ???c kh? n?ng c?a sinh viên .",1,0
"giáo viên nhi?t tình , d?y d? hi?u , t?n tình v?i sinh viên .",1,0
"tân tâm , nhi?t tình trong l?p l?n bên ngoài .",1,0
th?y gi?ng d?y t?n tâm nhi?t tình .,1,0
"th?y vui tính , gi?ng bài d? hi?u , nhi?t tình .",1,0
th?y giáo d?y nhi?t tình .,1,0
"d?y d? hi?u , g?n g?i sinh viên .",1,0
"cô d?y r?t nhi?t tình và tài li?u c?a cô r?t c? th? d? hi?u , cô h??ng d?n r?t t?n tình .",1,0
mong th?y c? g?ng trong các h?c k? sau .,0,0
c?n ??a ra nhi?u ví d? minh h?a h?n .,0,1
"gi?ng viên hoà ??ng , vui v? , ch? gi?ng t?n tình sinh viên ham h?c h?i .",1,0
gi?ng viên không d?y m?t ti?t th?c hành nào .,0,0
nên có s? th?ng nh?t gi?a các gi?ng viên b? môn trong ?? c??ng gi?ng d?y .,0,0
"có nh?ng ph?n ki?n th?c ch? m?t n?a l?p ???c h?c nh?ng gi?ng viên ngh? là c? l?p ?ã h?c r?i nên ch? overview , nh?ng sinh viên còn l?i khó n?m ???c .",0,0
máy tính c?p nh?t nhanh h?n .,0,2
"vui , hòa ??ng , nhi?t tình .",1,0
có giúp ?? sinh viên h?c t?p nghiên c?u .,1,0
"gi?ng viên t?n tâm , nhi?t tình , ham h?c h?i .",1,0
"tuy nhiên cô nên cân nh?c l?i v? s? l??ng yêu c?u ??i v?i sinh viên ?? sinh viên không b? kh?p vì quá nhi?u d?n ??n làm qua loa cho có , nh? v?y thì k?t qu? l?i không t?t .",0,0
"cô r?t t?n tâm , r?t ok , em r?t thích cách d?y và h?c c?a cô ( m?c dù h?i nhanh tí ) .",1,0
mong th?y và nhà tr??ng xem xét l?i nh?ng ?i?u em v?a nói .,0,0
"th?y t?n tâm , nhi?t tình , t?o ??ng l?c cho sinh viên .",1,0
"th?y giáo t?n tình , d?y k? , th??ng ??a ra câu h?i ?? xem xét m?c ?? hi?u bi?t c?a sinh viên .",1,0
c?n t?ng c??ng trao ??i gi?a sinh viên và giáo viên .,0,1
nói chung là nghe không bao gi? nghe rõ ???c .,0,3
cách truy?n ??t c?a giáo viên ch?a có s?c hút ??i v?i sinh viên nhi?u cho l?m .,0,0
"cô giáo thân thi?n d? g?n , th?c hành nhi?u .",1,0
ch?a ti?p thu tr?n v?n .,0,0
c?n c?i ti?n trang thi?t th?c hành .,0,2
gi?ng k? h?n .,0,0
còn h?i kéo th?i gian .,0,0
có nhi?u bài t?p v? nhà c? b?n l?n nâng cao và gi?ng viên s?a bài ?? .,1,0
th?y r?t hi?n và kiên trì gi?ng d?y cho l?p m?c dù môn h?c này ??i v?i em không ???c h?ng thú l?m .,0,0
?ôi lúc gi?ng bài h?i nhanh .,0,0
có m?t s? bu?i không ?i d?y .,0,0
th?y nhi?t tình và d?y d? hi?u .,1,0
"có ki?n th?c n?n t?ng này , sinh viên có th? h?c thêm b?t k? công ngh? c? th? nào ?ó d? dàng , c?ng nh? ti?p thu thay ??i công ngh? m?i nhanh chóng .",1,3
"c?u trúc ?? c??ng c?a th?y ch?a rõ ràng , lý thuy?t ch?a ???c trình bày rõ trong các bu?i h?c .",0,1
tài li?u h? tr? toàn ti?ng anh r?t khó h?c .,0,1
ch?a nh?n ???c gì t? môn h?c này .,0,3
"gi?ng viên không h? gi?ng d?y , ch? ??a ?? c??ng r?i thôi .",0,0
bài t?p m?i tu?n ??u có và ??y ?? .,1,1
em xin c?m ?n .,1,3
th?y c?n ph?i cho sinh viên bi?t ???c h?c môn này có tác d?ng gì và làm ???c gì khi h?c xong .,0,0
?? ngh? t?ng th?i gian th?c hành .,0,1
không ???c làm nh?ng chuy?n riêng trong lúc d?y th?c hành .,0,0
h? tr? thêm giáo trình không ph?i slide cho sinh viên .,0,2
cô wzjwz259 r?t vui và nhi?t tình .,1,0
"giáo vi?n nhi?t tình , t?n tâm .",1,0
"ki?n th?c ???c gi?ng viên trình bày rõ ràng , d? hi?u cho sinh viên .",1,1
c?n thêm nhi?u kit ?? th?c hành .,0,2
d?y khó hi?u quá nhanh .,0,0
"luôn g?n g?i , tham kh?o ý ki?n sinh viên và th?ng nh?t c?ng sinh viên .",1,0
s?p x?p l?ch h?c bù ch?a h?p lý .,0,1
"nhà tr??ng nên ??a môn h?c này vào th?i khóa bi?u b?t bu?c ? h?c k? 1 c?a các sinh viên n?m nh?t nh?m giúp các em n?m bi?t ???c mình nên h?c gì , mình có nên chuy?n ??i ngành hay không .",0,1
th?i gian th?c hành c?n nhi?u h?n .,0,1
gi?ng viên r?t nhi?t tình trong gi?ng d?y .,1,0
slide chu?n b? ch?a t?t .,0,1
th?y hay ?òi h?i sinh viên nh?ng ?i?u h?i quá cao .,0,0
cô gi?ng h??ng d?n nhi?t tình .,1,0
"chúng em ?ã g?p khó kh?n v?i kh? gi?y nh? , mô hình thì l?n và ph?c t?p .",0,3
gi?ng quá nhi?u không ?ánh vào tr?ng tâm .,0,0
"em không mu?n nói gì nh?ng mong th?y xem l?i cách ?ánh giá sinh viên ?? công b?ng h?n , cái sinh viên không bi?t không ph?i ch? ? cúp ti?t mà còn ? cách gi?ng d?y , truy?n ??t ? gi?ng viên , ví d? nh? cô wzjwz324 , r?t d? hi?u , t?n tâm .",0,0
cô có nhi?u hình th?c gi?ng d?y hay .,1,0
h?i khó .,0,0
th?y ?i tr? .,0,0
gi?ng t?t .,1,0
nói m? r?ng nhi?u v?n ?? v? môn h?c .,1,0
c?n t?ng c??ng n?i dung nghe và nói ?? sinh viên giao ti?p t?t h?n b?ng ti?ng anh .,0,1
gi?ng viên t?o ?i?u ki?n làm nhi?u bài t?p .,0,0
h? tr? thêm v? các thi?t b? d?y và h?c .,0,2
ít gi?i bài t?p trên l?p .,0,0
bám sát n?i dung chính .,1,1
c?n thêm các ?o?n code cho các gi?i thu?t b? sung các ph??ng pháp ?? gi?i quy?t các bài toán li?t kê .,0,1
thông tin ??y ?? v? bài t?p và các ngu?n tham kh?o .,1,1
"cô t?n tâm , nhi?t tình , ph??ng pháp d?y d? hi?u .",1,0
"th?y gi?ng r?t d? hi?u và thú v? , thu hút .",1,0
h??ng d?n chi ti?t v? cách th?c hành .,1,0
"gi?ng viên ch? cho ?? án và gi?i ?áp các yêu c?u ?? án , không cung c?p tài li?u hay h??ng d?n c? b?n , sinh viên t? tìm hi?u v?i lý do là h? tài n?ng nên c?n t? xoay s? .",0,0
"môn h?c toàn ki?n th?c m?i m? , gi?ng viên nên gi?ng chi ti?t h?n .",0,0
"??n khi cu?i k? , ch? c?n sinh viên m?c m?t sai sót nh? thì s? r?t môn .",0,1
"c?n thay ??i cách d?y và n?i dung h?c c?a ph?n th?c hành , các bài th?c hành hi?n t?i c?a môn m?ng máy tính ch?a ??m b?o hi?u qu? .",0,1
"th?y d?y hay , t?n tình góp ý t?ng bài .",1,0
"c? s? v?t ch?t , ph?ng máy không ?? phích c?m cho d?ng c? th?c hành và s? l??ng sinh viên , máy còn ti?m ?n nhi?u virus .",0,2
"trên l?p lý thuy?t gi?ng viên yêu c?u sinh viên ph?i th?c hi?n ?? án theo nh?ng gì mình h??ng d?n , nh?ng nhóm sinh viên b? sung thêm nh?ng liên h? th?c ti?n ??u b? cho là sai , không phù h?p v?i ?? án .",0,1
th?y gi?ng bài hay và hi?u qu? !,1,0
gi?ng viên nhi?t tình vui v? .,1,0
phòng h?c nên có rèm che sáng ?? khi chi?u slide ???c nhìn rõ h?n .,0,2
"ch??ng trình d?y lý thuy?t và th?c hành nên kh?p v?i nhau h?n , tránh tình tr?ng th?c hành tr??c khi h?c lý thuy?t .",0,0
"th?y gi?ng d?y nhi?t tình , d? hi?u .",1,0
mong gi?ng viên ngày càng ch?n ch?nh vi?c d?y h?c ?? các khoá sau ???c hi?u t?t h?n .,0,0
"th?y d?y r?t có tâm , và gi?ng cho sinh viên r?t nhi?u th? !",1,0
"n?i dung kh?o sat quá dài , nhi?u m?c l?p ?i l?p l?i , nhi?u b?n kh?o sát mà không c?n ??c , toàn tích chàn .",0,1
d?y t?t và r?t nhi?t tình ch? d?y hoc sinh .,1,0
"nhi?t tình , tân tâm .",1,0
"nh?ng h?c m?i th?y ki?n th?c th?y d?y r?t hay , bám sát th?c t? , th?y d?y r?t nhi?t tình , vui v? , khác v?i m?i ng??i nói .",1,0
bài t?p r?t hay .,1,1
th?y cô c?n cho nhi?u d?ng bài t?p sát v?i ?? thi h?n .,0,0
"th?y gi?ng hay nh?ng nên t? tin h?n , nói to h?n ?? h?c sinh hi?u bài m?t cách rõ ràng h?n .",1,0
"mong th?y vui tính , g?n g?i v?i sinh viên h?n .",1,0
"giáo viên vui tính , hòa ??ng , nhi?t tình .",1,0
cung c?p ki?n th?c tr?ng tâm .,1,1
c? g?ng truy?n ??t m?t cách t?t nh?t ?? sinh viên ???c hi?u .,1,0
gi?ng c?a gi?ng viên nh? dù ?ã s? d?ng micro .,0,0
giáo viên có phong cách gi?ng d?y nghiêm túc .,1,0
"cô r?t vui tính nà , không khí l?p lúc nào c?ng vui h?t , cô d?y r?t hay , d? hi?u !",1,0
"gi?ng viên gi?ng d?y r?t t?t , th??ng xuyên cung c?p thêm nhi?u ki?n th?c .",1,0
"th?y luôn nhi?t tình , có nh?ng chia s? r?t g?n g?i v?i sinh viên .",1,0
có kh? n?ng truy?n ??t t?t .,1,0
th?m chí còn không có bài nào khó b?ng các bài trong n?i dung c?a l?p chuyên tin ? các tr??ng c?p 3 .,0,1
th?y d?y t?n t?y và tâm huy?t .,1,0
th?y nên có cách d?y m?i cho môn h?c này ?? ???c k?t qu? t?t cho t?t c? m?i ng??i thay vì ?? r?t r?t nhi?u ng??i !,0,0
l?ch thi th?c hành c?n ???c thông báo s?m t?i sinh viên và phù h?p v?i th?i gian môn h?c .,0,1
cô nên gi?ng k? và chi ti?t t?ng bài vì nhi?u bài ?a s? các b?n ch?a hi?u thì cô l?i gi?ng nhanh ?? chuy?n qua bài khác .,0,0
d?y t?t ?úng tr?ng tâm nh?ng gì c?n bi?t .,1,0
"nhi?t tình , lên l?p ?úng gi? , d?y d? hi?u .",1,0
"n?u em bu?n ng? , dù lên l?p em v?n s? ng? , mà ng? ? trên l?p thì ?au l?ng và tê chân l?m .",0,3
c? mà em h?c môn này em hi?u colonlove .,1,3
thi?u kinh nghi?m truy?n ??t .,0,2
bài gi?ng thú v? .,1,1
em ngh? n?i dung th?c hành nên g?n v?i ?? án h?n .,0,1
th?y nhi?t huy?t và gi?ng bao quát ?? c?p ??n nhi?u khía c?nh c?a bài h?c v?n ?? .,1,0
gi?ng viên gi?ng bài k? .,1,0
"h? th?ng ?? án ch?m ?i?m theo m?c ?? hoàn thành c?a sinh viên , t?o s? ganh ?ua không h? nh? v?i nh?ng nhóm làm chung ?? án , kích thích sáng t?o không ng?ng tìm hi?u xây d?ng thêm ch?c n?ng m?i cho ?? án n?u mu?n ???c ?i?m cao .",1,1
"nhi?t tình , tâm huy?t .",1,0
ít chú tr?ng ph?n ng? pháp .,0,1
"gi?ng viên còn ch?a t?n tâm , phong cách gi?ng d?y ch?a thu hút ???c sinh viên .",0,0
"gi?ng r?t d? hi?u , h??ng d?n làm th?c hành t?t .",1,0
"th?y d?y r?t nhi?t tình , khi d?y th?y luôn ?i t?i t?ng sinh viên ?? h??ng d?n .",1,0
gi?ng viên nhi?t tình trong gi?ng d?y và ch?m ?i?m .,1,0
"cách truy?n ??t ki?n th?c ??i v?i em là r?t hi?u qu? , trao ??i bài v?i sinh viên , cô r?t nhi?t tình !",1,0
"gi?ng d?y hay , d? hi?u , t?n tình .",1,0
"ki?n th?c r?ng , kinh nghi?m th?c t? nhi?u , truy?n c?m h?ng cho sinh viên .",1,0
cách d?y sáng t?o .,1,0
gi?ng bài d? ti?p thu .,1,0
em r?t hài lòng v?i cô .,1,0
"th?y d?y d? hi?u , sinh ??ng .",1,0
cô ch?a n?m b?t ???c th?c tr?ng h?c c?a sinh viên .,0,0
